time,value
0:00:00,0.376422
0:00:00.021000,0.378716
0:00:00.044000,0.376473
0:00:00.068000,0.377631
0:00:00.093000,0.375636
0:00:00.115000,0.375054
0:00:00.138000,0.374137
0:00:00.163000,0.374226
0:00:00.189000,0.375976
0:00:00.216000,0.375948
0:00:00.241000,0.376036
0:00:00.264000,0.375496
0:00:00.286000,0.375617
0:00:00.309000,0.374170
0:00:00.332000,0.376185
0:00:00.355000,0.415405
0:00:00.377000,0.406286
0:00:00.400000,0.406076
0:00:00.421000,0.409594
0:00:00.445000,0.406118
0:00:00.471000,0.405100
0:00:00.493000,0.404756
0:00:00.514000,0.405049
0:00:00.540000,0.404774
0:00:00.561000,0.406207
0:00:00.583000,0.406668
0:00:00.608000,0.406746
0:00:00.629000,0.404984
0:00:00.651000,0.406505
0:00:00.677000,0.404565
0:00:00.698000,0.404579
0:00:00.720000,0.406314
0:00:00.742000,0.405807
0:00:00.765000,0.405546
0:00:00.787000,0.406002
0:00:00.812000,0.405272
0:00:00.836000,0.405086
0:00:00.858000,0.404871
0:00:00.880000,0.404467
0:00:00.902000,0.405770
0:00:00.927000,0.405886
0:00:00.949000,0.406044
0:00:00.972000,0.406319
0:00:00.995000,0.404969
0:00:01.016000,0.404778
0:00:01.039000,0.404411
0:00:01.062000,0.404732
0:00:01.089000,0.405095
0:00:01.111000,0.405961
0:00:01.133000,0.406095
0:00:01.157000,0.406849
0:00:01.180000,0.406393
0:00:01.205000,0.404946
0:00:01.229000,0.404676
0:00:01.251000,0.404183
0:00:01.274000,0.406439
0:00:01.297000,0.406216
0:00:01.322000,0.406393
0:00:01.344000,0.406537
0:00:01.365000,0.406510
0:00:01.389000,0.406296
0:00:01.411000,0.405909
0:00:01.433000,0.406086
0:00:01.457000,0.406091
0:00:01.479000,0.405821
0:00:01.501000,0.406189
0:00:01.525000,0.407696
0:00:01.548000,0.404085
0:00:01.570000,0.404839
0:00:01.593000,0.404314
0:00:01.616000,0.404788
0:00:01.639000,0.405951
0:00:01.660000,0.405705
0:00:01.684000,0.405919
0:00:01.706000,0.405946
0:00:01.727000,0.405793
0:00:01.753000,0.404476
0:00:01.774000,0.404425
0:00:01.796000,0.404760
0:00:01.820000,0.406114
0:00:01.842000,0.405988
0:00:01.865000,0.406026
0:00:01.887000,0.406012
0:00:01.911000,0.406198
0:00:01.936000,0.406128
0:00:01.958000,0.403978
0:00:01.983000,0.404369
0:00:02.005000,0.404574
0:00:02.027000,0.410938
0:00:02.049000,0.405755
0:00:02.073000,0.406314
0:00:02.096000,0.405983
0:00:02.119000,0.406030
0:00:02.144000,0.406244
0:00:02.165000,0.405285
0:00:02.190000,0.405983
0:00:02.219000,0.407212
0:00:02.241000,0.407579
0:00:02.263000,0.406454
0:00:02.286000,0.406044
0:00:02.309000,0.406165
0:00:02.331000,0.404904
0:00:02.356000,0.419425
0:00:02.380000,0.404574
0:00:02.401000,0.406142
0:00:02.423000,0.406686
0:00:02.448000,0.405835
0:00:02.470000,0.405677
0:00:02.492000,0.404854
0:00:02.514000,0.404779
0:00:02.538000,0.404816
0:00:02.560000,0.404588
0:00:02.583000,0.405728
0:00:02.605000,0.405811
