time,value
0:00:00,0.217357
0:00:00.025000,0.217802
0:00:00.047000,0.217142
0:00:00.068000,0.217673
0:00:00.091000,0.217072
0:00:00.114000,0.217622
0:00:00.135000,0.217115
0:00:00.157000,0.217051
0:00:00.181000,0.217741
0:00:00.202000,0.217018
0:00:00.224000,0.218459
0:00:00.246000,0.217873
0:00:00.270000,0.217431
0:00:00.292000,0.216444
0:00:00.314000,0.217598
0:00:00.338000,0.216932
0:00:00.360000,0.217904
0:00:00.382000,0.216933
0:00:00.406000,0.216308
0:00:00.429000,0.217326
0:00:00.452000,0.218077
0:00:00.473000,0.217068
0:00:00.496000,0.217293
0:00:00.518000,0.217687
0:00:00.540000,0.218048
0:00:00.564000,0.216783
0:00:00.585000,0.217687
0:00:00.607000,0.217549
0:00:00.630000,0.216855
0:00:00.653000,0.217741
0:00:00.675000,0.218942
0:00:00.697000,0.216609
0:00:00.722000,0.217053
0:00:00.744000,0.217502
0:00:00.765000,0.217292
0:00:00.788000,0.218011
0:00:00.810000,0.216830
0:00:00.833000,0.217860
0:00:00.858000,0.217370
0:00:00.880000,0.217205
0:00:00.902000,0.218633
0:00:00.924000,0.217752
0:00:00.946000,0.217696
0:00:00.968000,0.217125
0:00:00.990000,0.216794
0:00:01.014000,0.217798
0:00:01.035000,0.217110
0:00:01.058000,0.217519
0:00:01.081000,0.217332
0:00:01.104000,0.217578
0:00:01.127000,0.217297
0:00:01.148000,0.217769
0:00:01.171000,0.217084
0:00:01.192000,0.216675
0:00:01.214000,0.216478
0:00:01.237000,0.217883
0:00:01.262000,0.217783
0:00:01.284000,0.218219
0:00:01.305000,0.217866
0:00:01.331000,0.217296
0:00:01.352000,0.217568
0:00:01.374000,0.216985
0:00:01.397000,0.217971
0:00:01.421000,0.217291
0:00:01.443000,0.217447
0:00:01.465000,0.217104
0:00:01.489000,0.217040
0:00:01.510000,0.217571
0:00:01.532000,0.217100
0:00:01.557000,0.216626
0:00:01.579000,0.217725
0:00:01.601000,0.217696
0:00:01.625000,0.217391
0:00:01.647000,0.219340
0:00:01.669000,0.217885
0:00:01.690000,0.217640
0:00:01.715000,0.217479
0:00:01.737000,0.217558
0:00:01.759000,0.217587
0:00:01.782000,0.216800
0:00:01.804000,0.216978
0:00:01.826000,0.217960
0:00:01.850000,0.218500
0:00:01.872000,0.217725
0:00:01.893000,0.218200
0:00:01.915000,0.216429
0:00:01.939000,0.216499
0:00:01.961000,0.215724
0:00:01.982000,0.216687
0:00:02.006000,0.215350
0:00:02.028000,0.215824
0:00:02.049000,0.220824
0:00:02.071000,0.221521
0:00:02.095000,0.221870
0:00:02.118000,0.220797
0:00:02.140000,0.215660
0:00:02.164000,0.215060
0:00:02.185000,0.216652
0:00:02.208000,0.216194
0:00:02.231000,0.215518
0:00:02.253000,0.220241
0:00:02.275000,0.219464
0:00:02.297000,0.219409
0:00:02.320000,0.219803
0:00:02.341000,0.217530
0:00:02.363000,0.217393
0:00:02.385000,0.217969
0:00:02.408000,0.217302
0:00:02.430000,0.217668
0:00:02.452000,0.220042
0:00:02.476000,0.219428
0:00:02.497000,0.219643
0:00:02.519000,0.220571
0:00:02.544000,0.216417
0:00:02.566000,0.217969
0:00:02.588000,0.217893
0:00:02.610000,0.217100
0:00:02.634000,0.217516
0:00:02.656000,0.217038
0:00:02.678000,0.215648
0:00:02.700000,0.215916
0:00:02.723000,0.216209
0:00:02.745000,0.220654
0:00:02.766000,0.220638
0:00:02.790000,0.220358
0:00:02.812000,0.220236
0:00:02.835000,0.221203
0:00:02.858000,0.216454
0:00:02.880000,0.215388
0:00:02.903000,0.217007
0:00:02.927000,0.217590
0:00:02.951000,0.217936
0:00:02.972000,0.217665
0:00:02.995000,0.217981
0:00:03.018000,0.218458
0:00:03.040000,0.183305
0:00:03.062000,0.390860
0:00:03.086000,0.216869
0:00:03.108000,0.216857
0:00:03.130000,0.216552
0:00:03.152000,0.221252
0:00:03.175000,0.221878
0:00:03.197000,0.221539
0:00:03.220000,0.222078
0:00:03.244000,0.215563
0:00:03.266000,0.215786
0:00:03.288000,0.216395
0:00:03.312000,0.216495
0:00:03.334000,0.216159
0:00:03.356000,0.218582
0:00:03.380000,0.220064
0:00:03.404000,0.219966
0:00:03.426000,0.220634
0:00:03.448000,0.218210
0:00:03.472000,0.217529
0:00:03.494000,0.217965
0:00:03.516000,0.217560
0:00:03.540000,0.217720
0:00:03.561000,0.219787
0:00:03.585000,0.219571
0:00:03.607000,0.220809
0:00:03.631000,0.220146
0:00:03.652000,0.217902
0:00:03.675000,0.217476
0:00:03.696000,0.217286
0:00:03.719000,0.217371
0:00:03.740000,0.217990
0:00:03.762000,0.215693
0:00:03.787000,0.216419
0:00:03.809000,0.216330
0:00:03.831000,0.216560
0:00:03.855000,0.221260
0:00:03.877000,0.220074
0:00:03.900000,0.220010
0:00:03.923000,0.220348
0:00:03.945000,0.218869
0:00:03.968000,0.218470
0:00:03.991000,0.218404
0:00:04.013000,0.217703
0:00:04.035000,0.218524
0:00:04.056000,0.216157
0:00:04.080000,0.217090
0:00:04.102000,0.218069
0:00:04.124000,0.216234
0:00:04.146000,0.217928
0:00:04.169000,0.217246
0:00:04.192000,0.216903
0:00:04.215000,0.216681
0:00:04.238000,0.216652
0:00:04.260000,0.218311
0:00:04.283000,0.216968
0:00:04.306000,0.216958
0:00:04.328000,0.218489
0:00:04.350000,0.217059
0:00:04.372000,0.218258
0:00:04.397000,0.217542
0:00:04.419000,0.218120
0:00:04.440000,0.217810
0:00:04.464000,0.217515
0:00:04.486000,0.217767
0:00:04.508000,0.157664
0:00:04.530000,0.156740
0:00:04.553000,0.198920
0:00:04.576000,0.198623
0:00:04.598000,0.100438
0:00:04.622000,0.103103
0:00:04.645000,0.103426
0:00:04.667000,0.106020
0:00:04.690000,0.105935
0:00:04.712000,0.106547
0:00:04.734000,0.104645
0:00:04.756000,0.104544
0:00:04.781000,0.102479
0:00:04.802000,0.102468
0:00:04.835000,0.102270
0:00:04.868000,0.102597
0:00:04.889000,0.112010
0:00:04.914000,0.112274
0:00:04.935000,0.114526
0:00:04.967000,0.127160
0:00:05.001000,0.127045
0:00:05.022000,0.127300
0:00:05.045000,0.126403
0:00:05.070000,0.127623
0:00:05.092000,0.127120
0:00:05.114000,0.126976
0:00:05.136000,0.128157
